Purchase_ID,Client_ID,Product_ID,Purchase_Date,Quantity,Unit_Price_SGD,Amount_SGD,Channel,Advisor_ID,Linked_Interaction_ID,Purchase_Context
PU001,C001,P001,2026-06-20,1,8900,8900,Boutique,A01,I003,Self purchase
PU002,C001,P006,2026-06-20,1,11800,11800,Boutique,A01,I003,Self purchase
PU003,C001,P009,2025-11-22,1,16200,16200,Boutique,A01,,Self purchase
PU004,C001,P015,2025-06-14,2,780,1560,Boutique,A01,,Gifting
PU005,C001,P004,2024-12-03,1,5400,5400,Boutique,A01,,Self purchase
PU006,C002,P017,2026-05-30,1,1650,1650,Boutique,A02,I010,Self purchase
PU007,C002,P023,2025-10-08,1,3900,3900,Boutique,A02,,Self purchase
PU008,C002,P025,2025-10-08,1,1900,1900,Boutique,A02,,Self purchase
PU009,C002,P018,2025-03-19,1,1450,1450,Boutique,A02,,Self purchase
PU010,C003,P019,2026-06-05,1,420,420,Boutique,A03,I013,Self purchase
PU011,C003,P021,2026-06-05,1,690,690,Boutique,A03,I013,Self purchase
PU012,C003,P019,2026-03-30,2,420,840,Boutique,A03,,Gifting
PU013,C003,P015,2026-02-11,1,780,780,Boutique,A03,,Gifting
PU014,C003,P021,2025-12-05,1,690,690,Boutique,A03,,Self purchase
PU015,C003,P019,2025-10-18,2,420,840,Boutique,A03,,Gifting
PU016,C004,P009,2026-06-10,1,16200,16200,Boutique,A01,I016,Self purchase
PU017,C004,P005,2025-12-20,1,24500,24500,Private Salon,A01,,Self purchase
PU018,C004,P010,2025-08-14,1,21500,21500,Boutique,A01,,Gifting
PU019,C004,P006,2025-02-27,1,11800,11800,Boutique,A01,,Self purchase
PU020,C005,P010,2026-06-22,1,21500,21500,Boutique,A02,I019,Self purchase
PU021,C005,P004,2025-09-11,1,5400,5400,Boutique,A02,,Self purchase
PU022,C005,P018,2025-04-02,1,1450,1450,Boutique,A02,,Self purchase
PU023,C006,P013,2026-07-01,1,4800,4800,Boutique,A01,I022,Pre-season order
PU024,C006,P016,2026-07-01,1,2100,2100,Boutique,A01,I022,Pre-season order
PU025,C006,P008,2026-06-05,1,9600,9600,Boutique,A01,,Self purchase
PU026,C006,P003,2026-05-19,1,6200,6200,Private Preview,A01,I023,Self purchase
PU027,C006,P024,2025-09-26,1,7200,7200,Boutique,A01,,Self purchase
PU028,C006,P001,2025-05-08,1,8900,8900,Boutique,A01,,Self purchase
PU029,C007,P004,2026-01-20,1,5400,5400,Boutique,A02,I026,Self purchase
PU030,C007,P018,2025-07-16,1,1450,1450,Boutique,A02,,Self purchase
PU031,C007,P001,2025-02-05,1,8900,8900,Boutique,A02,,Gifting
PU032,C008,P021,2026-06-02,1,690,690,Boutique,A03,I029,Self purchase
PU033,C008,P019,2026-03-15,1,420,420,Boutique,A03,,Self purchase
PU034,C008,P003,2025-12-19,1,6200,6200,Boutique,A03,,Self purchase
PU035,C008,P021,2025-11-08,1,690,690,Boutique,A03,,Gifting
PU036,C009,P010,2026-06-28,1,21500,21500,Boutique,A02,I031,Self purchase
PU037,C009,P009,2025-12-18,1,16200,16200,Boutique,A02,,Gifting
PU038,C009,P006,2025-08-22,1,11800,11800,Boutique,A02,,Gifting
PU039,C010,P005,2026-06-30,1,24500,24500,Boutique,A01,I034,Self purchase
PU040,C010,P002,2026-03-08,1,7400,7400,Private Salon,A01,I036,Self purchase
PU041,C010,P009,2025-10-14,1,16200,16200,Private Salon,A01,,Self purchase
PU042,C010,P023,2025-09-30,1,3900,3900,Boutique,A01,,Self purchase
PU043,C010,P001,2025-06-20,1,8900,8900,Boutique,A01,,Self purchase
PU044,C010,P006,2024-11-11,1,11800,11800,Boutique,A01,,Gifting
PU045,C011,P017,2026-06-11,1,1650,1650,Boutique,A03,I038,Self purchase
PU046,C011,P003,2025-11-27,1,6200,6200,Boutique,A03,,Self purchase
PU047,C011,P018,2025-06-05,1,1450,1450,Boutique,A03,,Self purchase
PU048,C012,P019,2026-01-09,1,420,420,Boutique,A03,I041,Gifting
PU049,C012,P004,2025-09-02,1,5400,5400,Boutique,A03,,Gifting
PU050,C013,P024,2025-12-12,1,7200,7200,Boutique,A01,I043,Self purchase
PU051,C013,P009,2025-06-18,1,16200,16200,Boutique,A01,,Self purchase
PU052,C013,P023,2025-02-20,1,3900,3900,Boutique,A01,,Self purchase
PU053,C014,P012,2026-01-15,1,34000,34000,Private Preview,A02,I049,Self purchase
PU054,C014,P010,2025-05-30,1,21500,21500,Boutique,A02,,Self purchase
PU055,C014,P004,2024-10-22,1,5400,5400,Boutique,A02,,Self purchase
PU056,C015,P019,2026-07-03,1,420,420,Event,A03,,Purchased at event
PU057,C015,P019,2026-05-21,1,420,420,Boutique,A03,I052,Self purchase
PU058,C015,P017,2026-02-08,1,1650,1650,Boutique,A03,,Self purchase
PU059,C015,P008,2025-11-20,1,9600,9600,Boutique,A03,,Self purchase
PU060,C015,P021,2025-12-14,1,690,690,Boutique,A03,,Gifting
